"Title-module__anchor--GmXUE href","Title-module__anchor--GmXUE","ReposListItem-module__Label_2--Z6b0K","Text__StyledText-sc-1klmep6-0","ReposListItem-module__Text_4--mkG7R","ReposListItem-module__Link_1--v5NDF","ReposListItem-module__Link_1--v5NDF href","ReposListItem-module__Link_1--v5NDF 2","ReposListItem-module__Link_1--v5NDF href 2","ReposListItem-module__Box_6--KXqca 3","ReposListItem-module__Link_1--v5NDF 3","ReposListItem-module__Link_1--v5NDF href 3"
"https://github.com/frappe/telephony","telephony","Public","Telephony for Frappe apps","Python","13","https://github.com/frappe/telephony/forks","6","https://github.com/frappe/telephony/stargazers","•","0","https://github.com/frappe/telephony/pulls"
"https://github.com/frappe/blog","blog","Public","Write and publish blog","Python","9","https://github.com/frappe/blog/forks","7","https://github.com/frappe/blog/stargazers","•","0","https://github.com/frappe/blog/pulls"
"https://github.com/frappe/pypika","pypika","Public","PyPika is a python SQL query builder that exposes the full richness of the SQL language using a syntax that reflects the resulting query. PyPika excels at all sorts of SQL queries but is especially useful for data analysis.","Python","316","https://github.com/frappe/pypika/forks","1","https://github.com/frappe/pypika/stargazers","•","1","https://github.com/frappe/pypika/pulls"
"https://github.com/frappe/ecommerce_integrations","ecommerce_integrations","Public","Ecommerce integrations for ERPNext","Python","215","https://github.com/frappe/ecommerce_integrations/forks","142","https://github.com/frappe/ecommerce_integrations/stargazers","•","25","https://github.com/frappe/ecommerce_integrations/pulls"
"https://github.com/frappe/payments","payments","Public","A payments app for frappe","Python","324","https://github.com/frappe/payments/forks","128","https://github.com/frappe/payments/stargazers","•","17","https://github.com/frappe/payments/pulls"
"https://github.com/frappe/fc-scripts","fc-scripts","Public","Helper scripts to be run on Frappe sites","Python","4","https://github.com/frappe/fc-scripts/forks","14","https://github.com/frappe/fc-scripts/stargazers","•","0","https://github.com/frappe/fc-scripts/pulls"
"https://github.com/frappe/eps","eps","Public","Energy Points System","Python","9","https://github.com/frappe/eps/forks","10","https://github.com/frappe/eps/stargazers","•","2","https://github.com/frappe/eps/pulls"
"https://github.com/frappe/newsletter","newsletter","Public","Newsletter Management","Python","8","https://github.com/frappe/newsletter/forks","8","https://github.com/frappe/newsletter/stargazers","•","1","https://github.com/frappe/newsletter/pulls"
"https://github.com/frappe/mcp","mcp","Public","Frappe MCP allows Frappe apps to function as MCP servers","Python","20","https://github.com/frappe/mcp/forks","81","https://github.com/frappe/mcp/stargazers","•","0","https://github.com/frappe/mcp/pulls"
"https://github.com/frappe/erpnext_com","erpnext_com","Public","erpnext.com website","HTML","171","https://github.com/frappe/erpnext_com/forks","54","https://github.com/frappe/erpnext_com/stargazers","•","5","https://github.com/frappe/erpnext_com/pulls"
"https://github.com/frappe/email_delivery_service","email_delivery_service","Public","","Python","49","https://github.com/frappe/email_delivery_service/forks","25","https://github.com/frappe/email_delivery_service/stargazers","•","0","https://github.com/frappe/email_delivery_service/pulls"
"https://github.com/frappe/caffeine","caffeine","Public","Performance Engineering @ Frappe","Python","15","https://github.com/frappe/caffeine/forks","52","https://github.com/frappe/caffeine/stargazers","•","0","https://github.com/frappe/caffeine/pulls"
"https://github.com/frappe/webshop","webshop","Public","Open Source eCommerce Platform","Python","204","https://github.com/frappe/webshop/forks","159","https://github.com/frappe/webshop/stargazers","•","26","https://github.com/frappe/webshop/pulls"
"https://github.com/frappe/school_automations","school_automations","Public","","Python","6","https://github.com/frappe/school_automations/forks","5","https://github.com/frappe/school_automations/stargazers","•","0","https://github.com/frappe/school_automations/pulls"
"https://github.com/frappe/exotel_integration","exotel_integration","Public","Exotel Integration for ERPNext","Python","36","https://github.com/frappe/exotel_integration/forks","17","https://github.com/frappe/exotel_integration/stargazers","•","0","https://github.com/frappe/exotel_integration/pulls"
"https://github.com/frappe/semgrep-rules","semgrep-rules","Public","Semgrep rules specific to Frappe Framework","Python","37","https://github.com/frappe/semgrep-rules/forks","50","https://github.com/frappe/semgrep-rules/stargazers","•","0","https://github.com/frappe/semgrep-rules/pulls"
"https://github.com/frappe/education","education","Public","Open source education / school management system","Python","294","https://github.com/frappe/education/forks","375","https://github.com/frappe/education/stargazers","•","9","https://github.com/frappe/education/pulls"
"https://github.com/frappe/stalwart","stalwart","Public","Secure & Modern All-in-One Mail Server (IMAP, JMAP, POP3, SMTP)","Rust","537","https://github.com/frappe/stalwart/forks","11","https://github.com/frappe/stalwart/stargazers","•","0","https://github.com/frappe/stalwart/pulls"
"https://github.com/frappe/charts","charts","Public","Simple, responsive, modern SVG Charts with zero dependencies","JavaScript","751","https://github.com/frappe/charts/forks","15k","https://github.com/frappe/charts/stargazers","•","16","https://github.com/frappe/charts/pulls"
"https://github.com/frappe/offsite_backups","offsite_backups","Public","Offsite Backup Integrations for Frappe","Python","6","https://github.com/frappe/offsite_backups/forks","7","https://github.com/frappe/offsite_backups/stargazers","•","0","https://github.com/frappe/offsite_backups/pulls"
"https://github.com/frappe/falcon","falcon","Public","A service that execute code in any programming language in a sandboxed environment.","Python","15","https://github.com/frappe/falcon/forks","5","https://github.com/frappe/falcon/stargazers","•","0","https://github.com/frappe/falcon/pulls"
"https://github.com/frappe/erpc","erpc","Public archive","TPC-C insipired load testing for ERPNext","JavaScript","0","https://github.com/frappe/erpc/forks","6","https://github.com/frappe/erpc/stargazers","•","0","https://github.com/frappe/erpc/pulls"
"https://github.com/frappe/frappe_io","frappe_io","Public","Website for Frappe","JavaScript","188","https://github.com/frappe/frappe_io/forks","58","https://github.com/frappe/frappe_io/stargazers","•","1","https://github.com/frappe/frappe_io/pulls"
"https://github.com/frappe/datatable","datatable","Public","The Missing Javascript Datatable for the Web","JavaScript","192","https://github.com/frappe/datatable/forks","1.2k","https://github.com/frappe/datatable/stargazers","•","14","https://github.com/frappe/datatable/pulls"
"https://github.com/frappe/agriculture","agriculture","Public","Agriculture Domain for ERPNext","Python","82","https://github.com/frappe/agriculture/forks","78","https://github.com/frappe/agriculture/stargazers","•","3","https://github.com/frappe/agriculture/pulls"
"https://github.com/frappe/quill-image-resize-module","quill-image-resize-module","Public","A module for Quill rich text editor to allow images to be resized.","JavaScript","477","https://github.com/frappe/quill-image-resize-module/forks","2","https://github.com/frappe/quill-image-resize-module/stargazers","•","0","https://github.com/frappe/quill-image-resize-module/pulls"
"https://github.com/frappe/biometric-attendance-sync-tool","biometric-attendance-sync-tool","Public","A simple tool for syncing Biometric Attendance data with your ERPNext server","Python","263","https://github.com/frappe/biometric-attendance-sync-tool/forks","243","https://github.com/frappe/biometric-attendance-sync-tool/stargazers","•","7","https://github.com/frappe/biometric-attendance-sync-tool/pulls"
"https://github.com/frappe/gunicorn","gunicorn","Public","gunicorn 'Green Unicorn' is a WSGI HTTP Server for UNIX, fast clients and sleepy applications.","Python","1.8k","https://github.com/frappe/gunicorn/forks","3","https://github.com/frappe/gunicorn/stargazers","•","0","https://github.com/frappe/gunicorn/pulls"
"https://github.com/frappe/ijr","ijr","Public","India Justice Report ranks 18 large and 7 small states according to their capacity to deliver justice to all","HTML","6","https://github.com/frappe/ijr/forks","8","https://github.com/frappe/ijr/stargazers","•","0","https://github.com/frappe/ijr/pulls"
"https://github.com/frappe/fonts","fonts","Public","","","31","https://github.com/frappe/fonts/forks","32","https://github.com/frappe/fonts/stargazers","","0","https://github.com/frappe/fonts/pulls"
"https://github.com/frappe/build_ctf","build_ctf","Public archive","Frappe Build CTF","JavaScript","2","https://github.com/frappe/build_ctf/forks","8","https://github.com/frappe/build_ctf/stargazers","•","0","https://github.com/frappe/build_ctf/pulls"
"https://github.com/frappe/preview_generator","preview_generator","Public","Generates preview image for HTML","Python","12","https://github.com/frappe/preview_generator/forks","19","https://github.com/frappe/preview_generator/stargazers","•","0","https://github.com/frappe/preview_generator/pulls"
"https://github.com/frappe/ff_assignment_portal","ff_assignment_portal","Public","Automated Assignment Checker Portal built on Frappe and FrappeUI","Python","14","https://github.com/frappe/ff_assignment_portal/forks","7","https://github.com/frappe/ff_assignment_portal/stargazers","•","0","https://github.com/frappe/ff_assignment_portal/pulls"
"https://github.com/frappe/.github",".github","Public","","","1","https://github.com/frappe/.github/forks","1","https://github.com/frappe/.github/stargazers","","0","https://github.com/frappe/.github/pulls"
"https://github.com/frappe/erpnext_local","erpnext_local","Public","Free and Open Source Enterprise Resource Planning (ERP)","Python","9.7k","https://github.com/frappe/erpnext_local/forks","4","https://github.com/frappe/erpnext_local/stargazers","•","0","https://github.com/frappe/erpnext_local/pulls"
